,#05988a
Kyungmin Park,#f7f7f6
Michael Grzeschik,#f5d8b5
Marton Nemeth,#9ed4cf
Michael Hanselmann,#009688
Alan Nisota,#dfeeec
Stefan Agner,#009688
Henrik Rydberg,#ef8e1a
Jeff Garzik,#f09d3b
Jing Huang,#f2b872
John L. Hammond,#5fbbb3
Vishwanath Sripathy,#009688
Nicolas DET,#ef9223
Himangi Saraogi,#69bfb7
Christian Krafft,#009688
Wei Ni,#ef9429
Atul Deshmukh,#8dcdc7
Bjorn Andersson,#2fa89d
Alexander Boyko,#9ad3cd
Francisco Jerez,#45b1a7
Sahara,#009688
Santosh Shilimkar,#f3c894
Franck Bui-Huu,#20a296
Steffen Persvold,#c4e3e0
Fabien Marteau,#d9ebe9
Craig Shelley,#009688
Lars Ellenberg,#009688
Will Drewry,#9cd3ce
Dimitri Sivanich,#f5f6f6
Frank Blaschka,#c0e1de
Colin McCabe,#f3f6f5
Linas Vepstas,#ef9121
malattia@linux.it,#009688
EGRY Gabor,#009688
Vincent Cuissard,#b4ddd9
Russell King - ARM Linux,#f1ad5c
Mac Michaels,#009688
Sergio Aguirre,#73c3bc
Semen Protsenko,#d9ebea
Adheer Chandravanshi,#f5d8b7
Carl Lundqvist,#f0a144
Joel Becker,#f1a54b
Laurent Cans,#009688
Andiry Xu,#2ba79b
Wei Yan,#009688
TripleX Chung,#f5d7b3
Ley Foon Tan,#f6e4d0
Kyle Moffett,#009688
Mariusz Bialonczyk,#f4cd9f
Abhishek Kulkarni,#4cb4aa
Rayagond Kokatanur,#f4c997
Lee Jones,#28a69a
Eric Sandeen,#009688
Stewart Smith,#afdbd7
Tekkaman Ninja,#f1a54b
Emilio López,#5ab9b1
John Calixto,#69bfb7
Juan J. Garcia de Soria,#4fb5ab
wanzongshun,#f1a64d
Benjamin Poirier,#a8d8d3
Erin Lo,#009688
Brian Norris,#6abfb7
Matan Barak,#009688
Xander Huff,#f4d5b0
Tony Olech,#f4ca9a
Mika Kuoppala,#f6eee4
Haifeng Yan,#009688
Phoebe Buckheister,#f09e3c
Bradley Hughes,#009688
Liam Girdwood,#f6f0e8
Simon Budig,#009688
Haavard Skinnemoen,#b0dbd7
Tomas Pop,#009688
Pallipadi Venkatesh,#36aba0
René Moll,#f1a245
jianwei wang,#f5d9b8
David Box,#009688
Olli Salonen,#009688
Lew Glendenning,#f4d3ac
Dustin Byford,#43b0a6
Shubhrajyoti D,#f5dbbd
Jorge Boncompte [DTI2],#009688
Mathieu J. Poirier,#009688
Prakash Sathya,#f2b874
Alex Chiang,#a1d5d1
Andrew Andrianov,#009688
Mitsuru Kanda,#009688
Pantelis Antoniou,#6ac0b8
Dan Aloni,#009688
Matthew Vick,#6ac0b8
Armin Schindler,#b3dcd9
Uwe Bugla,#f09830
Jaswinder Singh Rajput,#f2bb7a
Markus Stockhausen,#f1ac59
Kees Cook,#009688
Bard Liao,#f1ad5d
Xing Wei,#f1aa55
Jorn Engel,#7dc7c0
Uwe Kleine-Koenig,#009688
Pawel Moll,#f4d2aa
Sergey Senozhatsky,#009688
Jan Engelhardt,#f1a44a
Insop Song,#ef8f1d
Márton Németh,#f5e1c9
Takashi YOSHII,#f3c691
Stephane Eranian,#f5dbbc
Lukasz Majewski,#009688
Zhaolei,#009688
Tom Zanussi,#189f93
Martin Rubli,#f6ebdd
Andre B. Oliveira,#f2f5f5
Tim Hockin,#009688
Neil Brown,#d3e9e7
Jaswinder Singh,#f0a143
Thomas Dahlmann,#f1aa56
Janusz Krzysztofik,#009688
Chris Zankel,#f4cc9d
Neerav Parikh,#f2b46b
Weidong Han,#009688
Sangwook Lee,#87cbc5
Harini Katakam,#009688
Martin Willi,#f2b670
Kouei Abe,#56b8af
Josh Myer,#f1ac5b
Leo Yan,#009688
Kirill Smelkov,#009688
Andrew Lewycky,#f2ba78
Antoine Ténart,#e4efee
Matthias Koenig,#f3bf82
William Lee Irwin III,#009688
Mika Westerberg,#009688
Courtney Cavin,#009688
Songmao Tian,#acdad5
Davide Rizzo,#009688
Bert Vermeulen,#009688
Will Cohen,#ef8a14
Amit S. Kale,#f1ab58
Phani Movva,#f6e4cf
Oscar Mateo,#f3bf82
Christopher Harvey,#f2b56d
Dexuan Cui,#f7f1e9
Stefan Rompf,#009688
Russ Gorby,#7fc8c1
Heinz Graalfs,#cbe6e3
Nadav Har'El,#5bbab1
Samuli Konttila,#009688
Marko Kohtala,#f09d3b
Bjørn Mork,#009688
Rik van Riel,#009688
Bryan Wu,#b4ddd9
John Lenz,#f6e7d5
Himanshu Madhani,#f09e3c
Tomas 'Sleep_Walker' Cech,#009688
Steve Wise,#e7f1f0
Scott Teel,#009688
Jonghwa Lee,#009688
Matthieu CASTET,#f6ebde
Kirill Korotaev,#009688
Marco Gittler,#ee8407
Marc Pignat,#009688
Dave Jiang,#f1a64c
Stephen Smalley,#58b8af
Juergen Borleis,#009688
Simone Zinanni,#85cac4
Arjan Opmeer,#f0a143
Martin Langer,#f5daba
barrios,#f1a953
Konrad Eisele,#9cd3ce
Jens Wiklander,#009688
David Ahern,#f3c083
Manu Gautam,#009688
Stephane VOLTZ,#f4d4ae
Roger Luethi,#44b1a7
Sundar R Iyer,#009688
Jonas Jensen,#009688
Vincenzo Aliberti,#ef880f
Daniel Drake,#009688
Ambresh K,#f4cd9f
Finn Thain,#009688
Marek Lindner,#6cc0b8
Pontus Fuchs,#f6e3ce
Bill Richardson,#f1a347
Mathias Nyman,#a2d6d1
Jerome Glisse,#5bbab1
Roman Zippel,#f0962d
Jacob Keller,#f3bf81
Huang Shijie,#f4d6b2
Daniel Jacobowitz,#009688
Helge Deller,#52b6ad
Tejun Heo,#149e91
Jin Park,#009688
Lucas Stach,#009688
Erik Andrén,#f1f4f4
Jeremy Roberson,#f0962d
Eugene Krasnikov,#63bdb5
Baruch Even,#009688
Vincent Donnefort,#009688
Ben Williamson,#009688
Roy Spliet,#f2b267
Andreas Faerber,#009688
Peer Chen,#ee8509
Maruthi Srinivas Bayyavarapu,#f5dcbf
Ido Shamay,#b7deda
Kazunori Miyazawa,#009688
Erez Zadok,#009688
Sedji Gaouaou,#30a99e
Bernd Schmidt,#3caea3
Matias Bjorling,#72c3bb
Tino Reichardt,#f7f1ea
Jongpill Lee,#f2b369
Hans de Goede,#f6eadc
Ramiro Morales,#a8d8d4
Peter Holik,#009688
Maxim Mikityanskiy,#009688
Peter Zijlstra,#addad6
David Vrabel,#7ec8c1
Dave Boutcher,#f2b670
Allen Hubbe,#f7f2ec
Koen Kooi,#009688
Alex Elder,#39aca1
nibble.max,#f6e5d2
Bart De Schuymer,#c7e4e2
Kuo-lang Tseng,#3bada3
Steven Toth,#f2ba77
Hugo Villeneuve,#009688
Benjamin Cama,#009688
Vincent Sanders,#009688
Akhil Bhansali,#f6ece1
Miguel Gaio,#009688
Mark Einon,#0a9a8c
Juston Li,#31a99e
Jeremy McNicoll,#009688
Abhijit Pagare,#009688
Cruz Julian Bishop,#f1af5f
Padmavathi Venna,#009688
Pratyush Anand,#009688
Dimitris Papastamos,#f2b36a
David Daney,#009688
Alain Degreffe,#f0f4f4
Christoph Mair,#009688
Zhou Wang,#ee8202
David Griego,#f6ece0
Alex Williamson,#6dc1b9
Rene Bolldorf,#3aada2
Angelo P. Castellani,#009688
Maximilian Schneider,#ef8e1b
Marc St-Jean,#60bcb3
Mohammed Shafi Shajakhan,#07998b
Daniel Vecino Castel,#009688
Adrian Alonso,#009688
Xia Kaixu,#009688
Kashyap Desai,#28a69a
Hans Ulli Kroll,#bde0dd
Casey Schaufler,#109c8f
Erwan Yvin,#009688
Yunzhi Li,#f3be81
Cory Maccarrone,#009688
Ebru Akagunduz,#009688
Jean-Christop PLAGNIOL-VILLARD,#009688
Luca Ellero,#a6d7d3
Aida Mynzhasova,#009688
Aloisio Almeida Jr,#f4d2a9
Alex Deucher,#7bc6bf
Jamal Hadi Salim,#f09b36
Eric Andersson,#94d0cb
James Hartley,#46b1a7
Vadim V. Vlasov,#009688
Heiner Kallweit,#26a599
Dale Farnsworth,#4cb4aa
Arnaud Giersch,#f3c895
Alex Gershgorin,#ef8a13
Frank Li,#bbe0dc
Peter Chubb,#009688
Srikar Dronamraju,#ef9122
Shailabh Nagar,#129d90
Sudeep Holla,#f0f4f4
Jonathan Austin,#a5d7d2
Andy Walls,#f4cea1
Sujith,#57b8af
Milton Miller,#f2b670
Paul Zimmerman,#b6ddda
Benoit Cousson,#f4d5af
Stéphane Marchesin,#82c9c2
Ben Widawsky,#f4ca99
Mike Snitzer,#009688
Venkat Yekkirala,#009688
David E. Box,#009688
Takao Indoh,#009688
Chris Snook,#009688
Peter Meerwald,#f1a954
Mark Brown,#bde0dd
Josef 'Jeff' Sipek,#009688
Lars Poeschel,#009688
Neel Patel,#f3c083
Vytas Dauksa,#ef9224
Paul Parsons,#009688
Joonsoo Kim,#009688
ZhengShunQian,#b7deda
David Brown,#6dc1b9
Kamal Dasu,#009688
Michael Schimek,#009688
Libin Yang,#f3c389
Li Yang,#ef8a13
Alex Dai,#009688
Sinclair Yeh,#1ea295
Dave Martin,#55b7ae
Zhu Lejun,#009688
Guy Mishol,#ef9121
WingMan Kwok,#e4efee
Soeren Moch,#009688
Harry Ciao,#f2b770
Elen Song,#009688
Graf Yang,#58b8af
Bernd Krumboeck,#c8e4e2
James Courtier-Dutton,#ef8810
Tony Lu,#daecea
Yingjoe Chen,#eff4f3
Mark Fasheh,#009688
Ander Conselvan de Oliveira,#f09a34
Matthew Ranostay,#ee8202
Viresh Kumar,#009688
Jiang Liu,#b1dbd7
Iwo Mergler,#dceceb
Hans-Joachim Picht,#1fa296
Lars-Peter Clausen,#f1a449
Dudley Du,#7fc8c1
Antoine Jacquet,#009688
Sanchayan Maity,#009688
Jelle de Jong,#009688
Nolan Leake,#f4cc9e
Michael Walle,#009688
Jonas Gorski,#ef8911
Anand Moon,#009688
Josenivaldo Benito Junior,#009688
Sam bobroff,#7dc7c0
Kaz Kojima,#eaf2f1
Andre Przywara,#ef9427
Serge E. Hallyn,#009688
Bob Rodgers,#009688
Bayi Cheng,#f6e4d0
Kan-Ru Chen,#009688
Harry Wei,#f0972f
Michel von Czettritz,#f4d5b1
Andrzej Zaborowski,#009688
Jan Kara,#009688
Xuelin Shi,#009688
Dezhong Diao,#009688
Steve Longerbeam,#6bc0b8
Neelesh Gupta,#009688
Jakub Jelinek,#009688
Jay Fenlason Stefan Richter,#ef8a13
Andrew Jones,#009688
Naveen Krishna,#009688
Stepan Moskovchenko,#009688
Michael Grundy,#47b2a8
Catherine Sullivan,#ee8304
Marco Aurelio da Costa,#009688
Lin Yongting,#f7f4f0
Forest Bond,#ef8b15
Thibaut Varene,#009688
Alex Hung,#009688
nir.tzachar@gmail.com,#65beb6
Samuel Pitoiset,#0a9a8c
Jonas Aaberg,#009688
Oliver Pinter,#4bb3aa
Robin Murphy,#d2e9e6
Jan Blunck,#009688
Bin Zhou,#009688
Christian Glindkamp,#009688
frans,#f6e7d6
Maxime Coquelin,#f2b46b
Bastian Hecht,#009688
Leonid V. Fedorenchik,#169e92
Chen Yu,#009688
Latchesar Ionkov,#3daea4
Thomas Petazzoni,#42b0a6
Todd Fischer,#009688
Wu Fengguang,#009688
Adam Baker,#f09e3d
Guo Zeng,#009688
Stefan Richter,#f4d6b2
Tuomas Tynkkynen,#45b1a7
Yauhen Kharuzhy,#f1a852
Gyungoh Yoo,#74c4bc
Arnaldo Carvalho de Melo,#f2b266
Roy Zang,#009688
Piotr Ziecik,#009688
chandramouli narayanan,#79c5be
Peter W Morreale,#ef8910
Sathya Perla,#009688
Seungwon Jeon,#87cbc5
Chaotian Jing,#f5d7b3
Michael Downey,#85cac4
Andrey Moiseev,#d2e9e6
Mark Rustad,#f2b874
Yaniv Rosner,#f0972f
Olav Kongas,#009688
Jens Axboe,#009688
Jay Lan,#009688
Thomas Maier,#e6f0ef
Rob Radez,#ee860a
Jammy Zhou,#72c3bb
Jonas Bonn,#f7f5f4
Chan Jeong,#64bdb5
Jon Ringle,#f5ddc1
Vivek Gautam,#009688
Bryan O'Sullivan,#ee870d
Martin Bugge,#009688
Markus Pargmann,#009688
Chris Verges,#3caea3
Markus Heidelberg,#f2bb7a
Richard Walmsley,#009688
Daniel Hellstrom,#009688
Gennady Sharapov,#18a093
Jean Pihet,#f5e2ca
Mars Cheng,#f7f2ec
Mark Asselstine,#78c5be
Grant Grundler,#009688
Maxime Hadjinlian,#009688
Li Wei,#ebf2f2
Henk Vergonet,#61bcb4
Alexander Stein,#009688
Gregory Bean,#f3c083
Andrei Konovalov,#009688
Peter Zijlstra (Intel),#009688
Subbaraya Sundeep Bhatta,#f3c185
Christopher Covington,#009688
Al Viro,#bbdfdc
Stephen Barber,#009688
Ramkumar Ramachandra,#2da89c
Patil Rachna,#009688
Tej Parkash,#6ac0b8
Andrey Smetanin,#27a59a
Oleg Drokin,#f2b46a
Terry Junge,#009688
KY Srinivasan,#45b1a7
Leonidas S. Barbosa,#36aba0
Manuel Francisco Naranjo,#009688
Evgeny Pinchuk,#f5ddc0
Stefan Lucke,#009688
Tan Raymond,#009688
Steve Capper,#f4f6f6
Goto Masanori,#009688
Charles Clément,#f2af61
Viktor Radnai,#f4ca9a
Benoit Masson,#009688
Andy Henroid,#afdbd6
Marc Zyngier,#ef9121
Mark Godfrey,#009688
Misael Lopez Cruz,#009688
Martin Waitz,#009688
Pam Delaney,#0f9c8f
Duane Griffin,#f4d5af
Nishanth Menon,#ef880e
alex.bluesman.smirnov@gmail.com,#ef8d19
johnnyhsu@realtek.com,#67bfb6
Michael Ellerman,#40afa5
Marcel Selhorst,#f4cfa4
Gregory Haskins,#c6e4e1
Ralph Metzler,#f09830
Kyle Strickland,#5bbab1
Alexander Bondar,#f5e0c7
Ryusuke Sakato,#f2b46b
David Rowe,#009688
Akshay Bhat,#009688
Wei Yang,#2da89c
João Paulo Rechi Vita,#009688
Matthew Wilcox,#f4d4ae
Peter Foley,#3aada2
Christian Borntraeger,#009688
Gerd Knorr,#f5d7b4
Vincent Guittot,#009688
Ulrich Hecht,#009688
Filippo Arcidiacono,#009688
Shachar Raindel,#f6ece0
James Cleverdon,#f6e5d1
Dave Peverley,#009688
Jiri Prchal,#009688
Maciej S. Szmigiero,#009688
Sachin Bhamare,#f6e3ce
Risto Suominen,#3daea3
Christian Pellegrin,#009688
Jan-Bernd Themann,#c1e2df
Ulf Hansson,#f2b874
Vitaly Bordug,#6bc0b8
Oleksandr Kravchenko,#e5f0ef
Mikko Perttunen,#ef8d1a
Anatol Pomozov,#f1a74f
Alexander Shiyan,#009688
Shikha Singh,#3aada2
Igal Liberman,#36aba0
Srinivas KANDAGATLA,#009688
Fariya Fatima,#f5dfc5
Mingkai Hu,#b3dcd8
Brian Murphy,#2fa89d
Bart Samwel,#37aca1
George Spelvin,#009688
Rafael J. Wysocki,#a3d6d1
Marian Balakowicz,#009688
Stephen Lord,#f2b266
Martin Josefsson,#f3bc7d
Denis 'GNUtoo' Carikli,#009688
S Twiss,#83c9c3
Beniamino Galvani,#009688
Mario Kicherer,#f09e3d
Srinivas Pandruvada,#98d2cc
Roberto Sassu,#98d2cc
Terry Lam,#63bdb4
Mike Christie,#85cac4
Perceval Anichini,#009688
Simon Kelley,#f3c996
Paul Burton,#55b7ae
Oliver Schuster,#169f92
xeb@mail.ru,#d1e8e6
Ma Ling,#ef9428
James Nelson,#ee8203
Thierry Reding,#f5e2ca
Archit Taneja,#c4e3e0
wu guoxing,#009688
Zhizhou Zhang,#b6ddda
Zhang Zhen,#f6ece0
Chris Adams,#ee8202
Jeb J. Cramer,#c9e5e2
Sujit Reddy Thumma,#8ccdc7
Antoine Tenart,#69bfb7
Todd Brandt,#9cd3ce
Stephen Gallimore,#f2af61
Chase Southwood,#ef9122
Kai Svahn,#009688
Claudiu Zissulescu,#cfe7e5
Jacob Shin,#009688
Jelle van der Waa,#009688
Marc Carino,#ef8c18
Sandeep Paulraj,#009688
Roderick Colenbrander,#009688
Robert Nelson,#009688
Arnd Bergmann,#ef8a13
Jan III Sobieski,#009688
Artem Bityutskiy,#f1a852
Peng Tao,#7ac6bf
Albert Herranz,#f4cb9c
Noriaki TAKAMIYA,#009688
Peter Gruber,#d7ebe9
Antonio Quartulli,#c2e2df
AceLan Kao,#009688
Corentin Labbe,#009688
Per Dalén,#009688
TripleX,#abd9d5
Lisa Du,#f1a348
zhichang.yuan,#ecf3f2
Khalid Aziz,#009688
Michel Pollet,#67beb6
Laszlo Ersek,#009688
Kylene Jo Hall,#ee860a
Sunil Mushran,#f1ad5d
Christian Daudt,#009688
Ryusuke Konishi,#f5dec2
Vakul Garg,#009688
Brian Johnson,#c5e3e0
Senthil Balasubramanian,#37aba1
Thiemo Seufer,#7ac6bf
Stephen Warren,#f7f7f6
Jett.Zhou,#f3c084
Punnaiah Choudary Kalluri,#009688
Robert Richter,#f6ebdd
Ruud Derwig,#a2d6d1
Steven Haigh,#f3c793
Miklos Szeredi,#f5e1c8
Bob Nelson,#ef9429
Nicolas Kaiser,#009688
Kevin Cernekee,#f3c38b
Sri Jayaramappa,#51b6ac
Alessio Igor Bogani,#009688
Daisuke HATAYAMA,#f5e3cd
Eric Wollesen,#0b9a8d
Rene Buergel,#009688
Jitendra Kumar Khasdev,#009688
Greg Thelen,#009688
Adriana Reus,#67beb6
Philipp Hachtmann,#f6e7d5
Andrea Righi,#009688
James Solner,#009688
Max Krasnyansky,#009688
Marcelo Ricardo Leitner,#009688
Chung-Ling Tang,#f3bf81
Axel Lin,#009688
Gary Stein,#009688
ludovic.desroches@atmel.com,#009688
Zhang Yanmin,#eff4f3
Colin Tuckley,#f5dbbd
Steffen Klassert,#e9f1f1
Andy Isaacson,#d4e9e7
Paul Serice,#f2b368
René Herman,#e0eeed
Jean Delvare,#c9e5e2
Andreas Färber,#009688
Richard Weinberger,#ee8101
Eric Huang,#2ba79b
Olliver Schinagl,#009688
Rodolfo Giometti,#e1eeed
Margit Schubert-While,#f3bf82
Tony Breeds,#009688
Rohit Ainapure,#f0972e
Raghavendra K T,#b8dedb
Chase Douglas,#2aa79b
Juuso Oikarinen,#c7e4e1
Yong Yao,#009688
Tony Prisk,#009688
Rajesh Borundia,#f09932
Vasant Hegde,#f5dec2
Hector Martin,#f7f3ee
Jandy Gou,#ee8406
Roger Quadros,#009688
Jesper Juhl,#a7d8d3
Sage Weil,#f4cc9d
Thomas Niederprüm,#51b6ac
srinidhi kasagar,#f5dabb
Arun Easi,#f4d6b1
Andreas Gröger,#f6e4cf
Tristan Schmelcher,#26a599
Heikki Krogerus,#43b0a6
Chas Williams,#009688
Gary Bisson,#009688
Todd E Brandt,#dbecea
Klaus Schwarzkopf,#2fa99d
KV Sujith,#009688
Jesse Barnes,#1ba194
Aaron Durbin,#009688
David Mosberger-Tang,#009688
Darbha Sriharsha,#f7f6f4
Adrian Bunk,#009688
Frantisek Hrbata,#f4ca99
John Johansen,#f2b66e
Damien.Horsley,#f5dec3
Li Xi,#f5e2cb
John Reiser,#009688
Andres More,#f09831
Guoqing Jiang,#009688
Pavel Cheblakov,#f4d6b2
Jozsef Kadlecsik,#f4d1a8
Pavel Fedin,#009688
Zefir Kurtisi,#009688
Zeng Zhaoming,#009688
Mike Marciniszyn,#f4cb9a
Ashwini Pahuja,#26a599
Matthias Klein,#009688
Ying Xue,#3daea3
Patrick Caulfield,#ef8910
YOSHIFUJI Hideaki,#f4c997
Barak Witkowski,#ef8c16
David Kilroy,#f1aa55
Gaël PORTAY,#009688
Martin Schiller,#009688
Lior Amsalem,#009688
Tomi Orava,#ef880f
Dan Streetman,#f3c792
Adam Lackorzynski,#009688
Mark Yao,#ee8406
Krzysztof Hałasa,#f2bc7b
Ramkrishna Vepa,#ef9326
Markus Franke,#f2b975
Narsimhulu Musini,#77c5be
Hubert Feurstein,#f3bf82
Tsugikazu Shibata,#9cd3ce
Jon Brenner,#f0a041
Sylver Bruneau,#dceceb
Chunming Zhou,#37aca1
Tanmay Upadhyay,#dfeeec
Kamil Debski,#009688
Arnaud Ebalard,#009688
Thomas Kleffel,#cde6e4
David Sharp,#f09932
Lubomir Rintel,#1ba194
Bharat Bhushan,#c9e5e2
Thibault LE MEUR,#6ac0b8
Peter Robinson,#009688
Benjamin Collins,#f7f3ee
Tim Schendekehl,#009688
Wyatt Banks,#009688
Claudio Scordino,#e3efee
Michael Jones,#009688
Mukesh Rathor,#4ab3a9
Lei Wen,#009688
Shirish Pargaonkar,#f4cd9e
Yong Wang,#009688
Yalin Wang,#009688
Frederic LAMBERT,#f09e3e
apatard@mandriva.com,#f1aa55
James Bottomley,#ee860a
Valdis Kletnieks,#009688
Sudeep Dutt,#f6f0e7
Mattia Dongili,#f6eee4
Hemant Pedanekar,#009688
Manfred Spraul,#2fa89d
Raducu Deaconu,#39aca1
Fabio Belavenuto,#f3c288
Kenan Esau,#009688
Toshiaki Makita,#009688
Christian Lamparter,#f6e8d8
Mike Rapoport,#009688
Chee Nouk Phoon,#6bc0b8
Torez Smith,#009688
Bruce Allan,#f2b873
Feng-Hsin Chiang,#eaf2f1
Greg Banks,#f6e6d3
Clifton Barnes,#f3c186
Javier Herrero,#96d1cc
Zou Nan hai,#c3e3e0
Will Deacon,#56b8af
Mac Lin,#92cfca
Andrea Paterniani,#009688
Ian Minett,#f3c289
Andrew Jackson,#009688
Wong Hoi Sing Edison,#009688
Darrick J. Wong,#f2bc7a
Wey-Yi Guy,#aad9d4
Ilya Yanok,#009688
Aravind Ganesan,#f5d9b8
akpm@osdl.org,#bce0dd
Dan Christian,#aad9d4
Kuppuswamy Sathyanarayanan,#f4cea0
Naresh Kamboju,#76c4bd
Angelo Compagnucci,#b7deda
Roman Volkov,#dceceb
Chaithrika U S,#009688
Pavankumar Kondeti,#009688
Andrzej Pietrasiewicz,#09998c
Kim B. Heino,#009688
Paulo Marques,#009688
Ludwig Nussel,#009688
Mark Nutter,#f2bc7b
Chris Schlund,#009688
Roy Huang,#b5ddda
Giridhar Malavali,#c0e1de
Abhishek Sagar,#009688
Mitch Williams,#19a093
Torsten Schenk,#f3c894
Nickolay V. Shmyrev,#64bdb5
Sreedhara DS,#009688
Cristian Birsan,#ee8304
Janne Grunau,#f1ae5e
Simon Wunderlich,#51b6ac
Martin Hundebøll,#96d1cb
Christopher Yeoh,#009688
Jean-François Dagenais,#009688
David Spinadel,#ef8910
Jason Cooper,#009688
Carlos Corbacho,#f6e8d9
Uri Mashiach,#009688
Minkyu Kang,#009688
Joshua Clayton,#009688
Harsha Priya,#05988a
Stefani Seibold,#009688
Suzuki Poulose,#009688
Edwin Peer,#aad9d4
Ming Lei,#009688
Keshavamurthy Anil S,#009688
Florian Fainelli,#f1aa56
Martin Habets,#5dbab2
Dmitry Monakhov,#f5dfc6
Lars Kotthoff,#009688
Anant Gole,#34aa9f
Narendra K,#009688
Luben Tuikov,#f3c894
Hye-Shik Chang,#009688
Omar Sandoval,#f6ede2
Charles Spirakis,#f6e4cf
Ashley Lai,#60bcb3
Johannes Berg,#66beb6
Dan Haab,#009688
Michal Sojka,#f6e6d3
Leo Kim,#f4cda0
Boojin Kim,#70c2ba
Ramax Lo,#f3c58f
Cesar Eduardo Barros,#009688
Ahmed S. Darwish,#8ecec8
Hillf Danton,#3eaea4
Dong Aisheng,#f5d7b5
Apelete Seketeli,#f09e3d
Hyungwon Hwang,#cce6e4
Ashwini Ghuge,#009688
Tom Harwood,#009688
James Chapman,#ef8b14
Terry Lambert,#009688
Pranith Kumar,#f09c38
Wang Dongsheng,#009688
Mugunthan V N,#f2bc7b
Andrew Morton,#41b0a5
Karen Xie,#009688
Cyrill Gorcunov,#009688
Matthew Tyler,#5fbbb3
Benjamin Li,#009688
Julian Andres Klode,#9cd3ce
Atul Dahiya,#009688
Karicheri Muralidharan,#f3c996
Patrick Boettcher,#d4e9e7
Alex Villac�s Lasso,#f2b36a
David L Stevens,#f1a54c
bjschuma@gmail.com,#009688
Scott Kanowitz,#009688
Joe Eykholt,#f5d7b3
Arthur Othieno,#f2b975
Philip J Kelleher,#cbe6e3
David S. Miller,#009688
Bart Tanghe,#f2ba78
Nikita Kiryanov,#009688
Haijun.Zhang,#009688
Stas Sergeev,#f6ebde
Zidan Wang,#009688
James Yonan,#009688
Greg Donald,#ef9122
Lee Chun-Yi,#f5e0c6
Samuel Thibault,#cce6e4
Glauber de Oliveira Costa,#009688
jdl@freescale.com,#009688
Benny Halevy,#f0972f
Ajay Kumar,#29a69a
Kiran Divekar,#ee8406
Mike Looijmans,#009688
Urs Fleisch,#009688
Rhyland Klein,#f0f4f4
Jonas Larsson,#a6d7d3
Olivia Yin,#009688
Torrey Hoffman,#ef9428
Daniel Wagner,#ef9325
Yasunori Goto,#009688
Jon Grimm,#5ebbb2
Ronald Bultje,#98d2cc
Laurent Vivier,#009688
Andrey Borzenkov,#6fc1ba
Alexander Kurz,#109c8f
Suraj Sumangala,#ef8f1c
Phil Edworthy,#06998b
Vipul Pandya,#f7f4f1
Kimio Suganuma,#009688
Rob Herring,#ef8911
Tadeusz Struk,#f0a042
James Ketrenos,#ee860b
Dmitry Khromov,#f1a750
Sean MacLennan,#f2f5f5
Alexander van Heukelum,#009688
Robert Butora,#6ac0b8
Luca Tettamanti,#f4cfa3
Rasesh Mody,#f1aa56
Erich Chen,#96d1cb
Luis Alves,#96d1cc
Martin Samuelsson,#009688
Selvin Xavier,#69bfb7
Michael Ernst,#93d0ca
Matthew Dharm,#f0f4f4
Matthijs Kooijman,#009688
Igor Mammedov,#77c5bd
Michal Kazior,#f6e8d8
chetan loke,#009688
Adam Sampson,#009688
Pablo Neira Ayuso,#a0d5d0
Zain Wang,#009688
Ricard Wanderlof,#009688
Bamvor Jian Zhang,#7ac6bf
Sergei Shtylyov,#b7deda
Anjali Singhai Jain,#8fcec8
Karol Lewandowski,#48b2a9
Ingi Kim,#c7e4e1
Alex Bennée,#cde7e4
Anton Blanchard,#f4d1a7
Paul Mackerras,#e2efee
Hisashi Nakamura,#f1a245
Bhanu Prakash Gollapudi,#009688
Bernardo Innocenti,#009688
InKi Dae,#71c2bb
Marius B. Kotsbak,#009688
Marek Belisko,#009688
Amit Kucheria,#009688
Choi David,#62bdb4
Qipeng Zha,#009688
Ollie Wild,#009688
Richard Hirst,#009688
Gerhard Bertelsmann,#f2b062
David Teigland,#4fb5ab
Tatyana Nikolova,#3daea3
Jesper Nilsson,#f4cb9b
Rafael Aquini,#009688
Jan Steinhoff,#38aca1
Chris Wright,#009688
Xin Long,#cfe7e5
Rudolf Marek,#f6e7d6
Cai Zhiyong,#009688
J�rgen Schindele,#009688
Fabio Porcedda,#009688
Dan Magenheimer,#83c9c3
Rick Koch,#ee870c
Mikael Pettersson,#f5d9b7
Ville Syrjälä,#b4ddd9
Ricardo Neri,#009688
Li Zhong,#f2b368
David Härdeman,#f2af60
Joe Perches,#7fc8c1
Vinayak Kale,#f2b771
Bintian Wang,#009688
Maxime Bizon,#2da89c
Sergey Matyukevich,#009688
Tom Gundersen,#f4d2a9
Jaecheol Lee,#ef8c17
Jordan Crouse,#f5d9b8
Afzal Mohammed,#36aba0
Mark Jackson,#f7f4f0
Gerald Schaefer,#f09831
Alex Smith,#f5dabb
Lee Schermerhorn,#009688
Eli Billauer,#19a093
Gerrit Renker,#50b5ac
Tero Jaasko,#009688
Cliff Cai,#009688
Hartley Sweeten,#ef901f
Jan Kiszka,#009688
Huang Lin,#009688
Sean Paul,#96d1cb
Nicholas Bellinger,#009688
Chanwoo Choi,#f1ae5e
Peter Hung,#009688
Wade Farnsworth,#009688
Bruno Prémont,#f6eadc
Alban Bedel,#f3c58e
Zachary Amsden,#009688
Lidza Louina,#f5dab9
Alexander Aring,#009688
Marek Szyprowski,#009688
